log_id,gtw_txn_id,gateway_id,amount,status,log_timestamp,processed_flag
1,543dcb7c-416f-11f1-abdd-0a002700000b,,2000.0,SUCCESS,2026-04-26 18:26:23,1
2,b147db49-416f-11f1-abdd-0a002700000b,,15000.0,SUCCESS,2026-04-26 18:28:59,1
3,TXN_81aae0b1de,1.0,8000.0,SUCCESS,2026-04-28 00:17:00,1
4,TXN_9a3b0244e4,1.0,5000.0,FAILED,2026-04-28 00:20:40,1
5,TXN_863b2574da,1.0,1000.0,SUCCESS,2026-04-28 00:23:16,1
6,TXN_ebbf257800,1.0,5000.0,SUCCESS,2026-05-05 21:08:38,1
7,TXN_1d313de97f,1.0,1000.0,SUCCESS,2026-05-05 21:48:35,1
8,TXN_c37e2cceac,1.0,1000.0,FAILED,2026-05-05 21:52:58,1
9,TXN_9d06064407,1.0,1000.0,SUCCESS,2026-05-05 22:21:23,1
10,TXN_f39890fe62,2.0,1000.0,SUCCESS,2026-05-06 22:29:31,1
11,TXN_81d3d01171,3.0,1000.0,PENDING,2026-05-06 22:30:04,1
12,TXN_47d3375b56,3.0,1000.0,FAILED,2026-05-06 22:30:41,1
13,TXN_10000,1.0,19098.32,FAILED,2026-04-02 21:24:46,1
14,TXN_10001,1.0,4404.79,SUCCESS,2026-04-02 07:32:54,1
15,TXN_10002,1.0,9314.61,SUCCESS,2026-04-03 02:02:55,1
16,TXN_10003,1.0,26370.17,SUCCESS,2026-04-02 22:07:21,1
17,TXN_10004,1.0,18120.86,PENDING,2026-04-02 00:02:31,1
18,TXN_10005,1.0,23578.03,SUCCESS,2026-04-02 23:36:38,1
19,TXN_10006,1.0,40461.45,FAILED,2026-04-03 02:56:51,1
20,TXN_10007,1.0,13763.53,SUCCESS,2026-04-01 23:43:08,1
21,TXN_10008,1.0,31557.29,SUCCESS,2026-04-02 06:15:00,1
22,TXN_10009,1.0,5445.15,SUCCESS,2026-04-03 03:07:01,1
23,TXN_10010,1.0,40335.91,SUCCESS,2026-04-03 14:04:53,1
24,TXN_10011,1.0,47892.34,SUCCESS,2026-04-02 15:27:48,1
25,TXN_10012,1.0,24840.32,SUCCESS,2026-04-03 09:50:05,1
26,TXN_10013,1.0,36996.99,SUCCESS,2026-04-03 15:25:59,1
27,TXN_10014,1.0,5702.85,PENDING,2026-04-03 08:32:16,1
28,TXN_10015,1.0,3213.42,SUCCESS,2026-04-01 18:30:22,1
29,TXN_10016,1.0,48780.56,FAILED,2026-04-02 14:13:42,1
30,TXN_10017,1.0,10556.94,SUCCESS,2026-04-01 16:37:01,1
31,TXN_10018,1.0,26811.97,SUCCESS,2026-04-01 17:53:54,1
32,TXN_10019,1.0,43582.64,SUCCESS,2026-04-03 15:22:19,1
33,TXN_10020,1.0,13574.58,SUCCESS,2026-04-03 02:48:03,1
34,TXN_10021,1.0,35470.7,SUCCESS,2026-04-03 04:44:30,1
35,TXN_10022,1.0,17319.27,SUCCESS,2026-04-03 15:17:24,1
36,TXN_10023,1.0,28513.06,SUCCESS,2026-04-03 08:31:23,1
37,TXN_10024,1.0,4229.34,SUCCESS,2026-04-01 16:49:28,1
38,TXN_10025,1.0,32600.89,PENDING,2026-04-02 03:57:43,1
39,TXN_10026,1.0,28584.53,SUCCESS,2026-04-02 02:24:10,1
40,TXN_10027,1.0,7722.85,SUCCESS,2026-04-03 13:07:00,1
41,TXN_10028,1.0,49044.97,SUCCESS,2026-04-03 15:52:06,1
42,TXN_10029,1.0,31186.78,SUCCESS,2026-04-02 11:11:22,1
43,TXN_10030,1.0,41856.42,SUCCESS,2026-04-01 12:14:44,1
44,TXN_10031,1.0,4802.14,FAILED,2026-04-01 16:33:41,1
45,TXN_10032,1.0,29884.89,SUCCESS,2026-04-01 17:24:57,1
46,TXN_10033,1.0,29356.45,SUCCESS,2026-04-01 17:35:35,1
47,TXN_10034,1.0,36021.1,SUCCESS,2026-04-03 06:47:32,1
48,TXN_10035,1.0,27786.86,SUCCESS,2026-04-01 17:28:43,1
49,TXN_10036,1.0,12682.36,SUCCESS,2026-04-02 13:35:08,1
50,TXN_10037,1.0,30994.93,SUCCESS,2026-04-02 21:13:26,1
51,TXN_10038,1.0,8051.08,SUCCESS,2026-04-01 11:00:16,1
52,TXN_10039,1.0,37327.15,SUCCESS,2026-04-02 22:12:17,1
53,TXN_10040,1.0,13391.65,FAILED,2026-04-02 10:31:06,1
54,TXN_10041,1.0,30072.41,SUCCESS,2026-04-01 16:46:42,1
55,TXN_10042,1.0,12864.5,SUCCESS,2026-04-03 09:07:13,1
56,TXN_10043,1.0,22689.97,SUCCESS,2026-04-03 16:24:37,1
57,TXN_10044,1.0,34583.47,SUCCESS,2026-04-03 05:20:52,1
58,TXN_10045,1.0,14896.65,SUCCESS,2026-04-03 02:28:08,1
59,TXN_10046,1.0,21335.92,SUCCESS,2026-04-02 16:31:41,1
60,TXN_10047,1.0,37128.34,SUCCESS,2026-04-02 08:52:04,1
61,TXN_10048,1.0,26156.79,SUCCESS,2026-04-01 17:14:28,1
62,TXN_10049,1.0,3701.05,SUCCESS,2026-04-02 11:44:59,1
63,TXN_10050,1.0,40521.61,SUCCESS,2026-04-02 15:35:55,1
64,TXN_10051,1.0,45321.82,FAILED,2026-04-01 16:15:45,1
65,TXN_10052,1.0,5943.81,FAILED,2026-04-02 12:11:43,1
66,TXN_10053,1.0,7681.44,SUCCESS,2026-04-02 08:22:50,1
67,TXN_10054,1.0,38864.32,SUCCESS,2026-04-03 13:47:59,1
68,TXN_10055,1.0,36936.9,SUCCESS,2026-04-02 01:18:23,1
69,TXN_10056,1.0,32808.35,SUCCESS,2026-04-03 05:48:10,1
70,TXN_10057,1.0,36022.89,SUCCESS,2026-04-01 19:28:22,1
71,TXN_10058,1.0,11963.61,SUCCESS,2026-04-02 19:00:50,1
72,TXN_10059,1.0,28594.65,SUCCESS,2026-04-01 16:02:34,1
73,TXN_10060,1.0,29621.3,SUCCESS,2026-04-01 22:07:12,1
74,TXN_10061,1.0,43714.77,SUCCESS,2026-04-02 16:18:04,1
75,TXN_10062,1.0,34785.21,PENDING,2026-04-02 01:58:11,1
76,TXN_10063,1.0,26648.4,SUCCESS,2026-04-03 05:35:27,1
77,TXN_10064,1.0,29827.81,SUCCESS,2026-04-03 02:41:29,1
78,TXN_10065,1.0,40273.87,SUCCESS,2026-04-02 11:10:55,1
79,TXN_10066,1.0,6329.67,SUCCESS,2026-04-01 17:20:36,1
80,TXN_10067,1.0,37225.09,SUCCESS,2026-04-02 00:49:09,1
81,TXN_10068,1.0,17803.57,SUCCESS,2026-04-02 23:54:43,1
82,TXN_10069,1.0,25617.94,SUCCESS,2026-04-03 06:07:31,1
83,TXN_10070,1.0,40676.62,SUCCESS,2026-04-02 02:18:17,1
84,TXN_10071,1.0,6956.25,SUCCESS,2026-04-02 09:51:03,1
85,TXN_10072,1.0,11069.4,SUCCESS,2026-04-03 14:29:35,1
86,TXN_10073,1.0,25333.34,SUCCESS,2026-04-01 22:32:38,1
87,TXN_10074,1.0,42041.92,SUCCESS,2026-04-03 14:54:10,1
88,TXN_10075,1.0,11649.91,SUCCESS,2026-04-02 00:00:40,1
89,TXN_10076,1.0,40392.61,SUCCESS,2026-04-02 12:48:02,1
90,TXN_10077,1.0,24114.14,SUCCESS,2026-04-02 17:44:54,1
91,TXN_10078,1.0,31800.82,SUCCESS,2026-04-02 17:41:38,1
92,TXN_10079,1.0,19825.85,SUCCESS,2026-04-02 22:34:12,1
93,TXN_10080,1.0,45178.1,SUCCESS,2026-04-03 17:01:00,1
94,TXN_10081,1.0,46784.56,SUCCESS,2026-04-01 22:36:23,1
95,TXN_10082,1.0,1166.27,PENDING,2026-04-02 13:17:34,1
96,TXN_10083,1.0,571.82,SUCCESS,2026-04-02 11:28:34,1
97,TXN_10084,1.0,13934.73,SUCCESS,2026-04-03 13:45:04,1
98,TXN_10085,1.0,8503.84,SUCCESS,2026-04-03 02:56:59,1
99,TXN_10086,1.0,36439.11,SUCCESS,2026-04-03 02:09:54,1
100,TXN_10087,1.0,14729.55,SUCCESS,2026-04-01 22:58:14,1
101,TXN_10088,1.0,12205.05,FAILED,2026-04-01 22:33:20,1
