gtw_txn_id,idempotency_key,gateway_id,sender_account_id,receiver_account_id,amount,status,created_at,updated_at
10dfe6d1-416f-11f1-abdd-0a002700000b,10dfe712-416f-11f1-abdd-0a002700000b,1,4,7,5000.0,SUCCESS,2026-04-26 18:24:30,2026-04-26 18:24:30
543dcb7c-416f-11f1-abdd-0a002700000b,543dcba1-416f-11f1-abdd-0a002700000b,1,3,1,2000.0,SUCCESS,2026-04-26 18:26:23,2026-04-26 18:26:23
b147db49-416f-11f1-abdd-0a002700000b,b147db67-416f-11f1-abdd-0a002700000b,1,1,3,15000.0,SUCCESS,2026-04-26 18:28:59,2026-04-26 18:28:59
TXN_000631b354,e5f0fa46-1682-4b35-b7bf-a6897f41e892,1,5,16,351.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_0050056c9f,cfa0ba79-eb23-4fe7-aa0f-e6ded9d02671,1,14,7,337.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_00596a7e0c,7c7e50f4-22c8-48ae-ad30-d989be25db0c,1,18,9,276.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_007f34a6d4,765242e1-b812-42a1-b866-a33862d5a7d3,1,10,17,247.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_00d511c877,37c15aad-f5fa-43e9-9e23-d5ec927d18bf,1,1,12,200.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_00e1289598,b32213d6-db4d-4a68-9f34-ffb815e12046,1,3,12,113.0,SUCCESS,2026-04-26 18:09:38,2026-04-26 18:09:38
TXN_00e5a7a7ee,b4d91be5-ca38-4c38-9d00-d117e480035c,1,13,16,330.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_010e6958a5,c19df0db-b03e-4a22-bfd9-7e7db6ea34aa,1,15,12,197.0,SUCCESS,2026-04-26 18:09:36,2026-04-26 18:09:36
TXN_01d2e45e7d,0f07e4c9-8ed4-4729-9105-7ab5a5971142,1,6,18,405.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_01dd7f201a,5df083c7-2eea-4b59-8ed1-098c657ed263,1,5,2,455.0,SUCCESS,2026-04-26 18:09:38,2026-04-26 18:09:38
TXN_01ebe8580b,3b7b6d3c-2640-4a1a-9cd7-9832fa9313a2,1,2,7,62.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_02075f1f7a,4f0d1ed1-408c-4862-97d4-769066f21325,1,4,16,345.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_0293979320,b8939b78-dfae-41c8-b641-bf3221744835,1,6,2,469.0,SUCCESS,2026-04-26 18:09:38,2026-04-26 18:09:38
TXN_035d8fe53e,399d9aba-2e8b-4378-99a3-2825c6c87933,1,17,20,365.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_03c253279f,aa919d50-c556-4aa7-9a25-7775cd0e3f2e,1,4,17,488.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_042869553b,84a2397a-43b0-47ea-aeac-f24b3dad1657,1,14,3,332.0,SUCCESS,2026-04-26 18:09:37,2026-04-26 18:09:37
TXN_04b56b0a02,c6c032f5-926b-4608-82d1-c0d7fed4166c,1,9,12,196.0,SUCCESS,2026-04-26 18:09:36,2026-04-26 18:09:36
TXN_05524c3fb6,6233b0a6-44cb-432a-a7df-35dc22516b8e,1,10,12,186.0,SUCCESS,2026-04-26 18:09:38,2026-04-26 18:09:38
