recon_id,gtw_txn_id,gateway_status,internal_status,gateway_amount,internal_amount,result,action_taken,created_at,mismatch_flag,remarks,rollback_executed
34,TXN_ebbf257800,SUCCESS,MATCH,5000.0,5000.0,MATCH,NONE,2026-05-05 21:24:30,0,,0
35,TXN_ebbf257800,SUCCESS,MATCH,5000.0,5000.0,MATCH,NONE,2026-05-05 21:50:49,0,,0
36,TXN_1d313de97f,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-05 21:50:49,0,,0
38,TXN_ebbf257800,SUCCESS,MATCH,5000.0,5000.0,MATCH,NONE,2026-05-05 22:23:02,0,,0
39,TXN_1d313de97f,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-05 22:23:02,0,,0
40,TXN_47d3375b56,FAILED ,MISSING_INTERNAL,1000.0,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 22:50:11,0,,0
41,TXN_81d3d01171,PENDING,MISSING_INTERNAL,1000.0,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 22:50:11,0,,0
42,TXN_9d06064407,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-06 22:50:11,0,,0
43,TXN_c37e2cceac,FAILED ,MISSING_INTERNAL,1000.0,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 22:50:11,0,,0
44,TXN_ebbf257800,SUCCESS,MATCH,5000.0,5000.0,MATCH,NONE,2026-05-06 22:50:11,0,,0
45,TXN_1d313de97f,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-06 22:50:11,0,,0
46,TXN_f39890fe62,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-06 22:50:11,0,,0
47,TXN_f39890fe62,SUCCESS,MATCH,1000.0,1000.0,MATCH,NONE,2026-05-06 23:10:40,0,,0
48,TXN_81d3d01171,PENDING,MISSING_INTERNAL,1000.0,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:10:40,0,,0
49,TXN_47d3375b56,FAILED,MISSING_INTERNAL,1000.0,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:10:40,0,,0
50,TXN_10487,SUCCESS,MATCH,20447.9,20447.9,MATCH,NONE,2026-05-06 23:19:48,0,,0
51,TXN_10575,SUCCESS,MATCH,6705.23,6705.23,MATCH,NONE,2026-05-06 23:19:48,0,,0
52,TXN_10687,SUCCESS,MATCH,35324.37,35324.37,MATCH,NONE,2026-05-06 23:19:48,0,,0
53,TXN_11197,SUCCESS,MATCH,43449.78,43449.78,MATCH,NONE,2026-05-06 23:19:48,0,,0
54,TXN_11332,SUCCESS,MATCH,25597.87,25597.87,MATCH,NONE,2026-05-06 23:19:48,0,,0
55,TXN_11442,SUCCESS,MATCH,32327.44,32327.44,MATCH,NONE,2026-05-06 23:19:48,0,,0
56,TXN_12376,SUCCESS,MATCH,31492.28,31492.28,MATCH,NONE,2026-05-06 23:19:48,0,,0
57,TXN_12729,SUCCESS,MATCH,28940.04,28940.04,MATCH,NONE,2026-05-06 23:19:48,0,,0
58,TXN_12827,FAILED ,MISSING_INTERNAL,30856.05,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:19:48,0,,0
59,TXN_12938,SUCCESS,MATCH,30244.57,30244.57,MATCH,NONE,2026-05-06 23:19:48,0,,0
60,TXN_13118,SUCCESS,MATCH,30121.0,30121.0,MATCH,NONE,2026-05-06 23:19:48,0,,0
61,TXN_13281,SUCCESS,MATCH,6323.2,6323.2,MATCH,NONE,2026-05-06 23:19:48,0,,0
62,TXN_13322,SUCCESS,MATCH,33209.55,33209.55,MATCH,NONE,2026-05-06 23:19:48,0,,0
63,TXN_13449,SUCCESS,MATCH,34438.25,34438.25,MATCH,NONE,2026-05-06 23:19:48,0,,0
64,TXN_13639,SUCCESS,MATCH,11289.17,11289.17,MATCH,NONE,2026-05-06 23:19:48,0,,0
65,TXN_13884,PENDING,MISSING_INTERNAL,43478.2,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:19:48,0,,0
66,TXN_14140,SUCCESS,MATCH,7546.3,7546.3,MATCH,NONE,2026-05-06 23:19:48,0,,0
67,TXN_14281,SUCCESS,MATCH,49735.83,49735.83,MATCH,NONE,2026-05-06 23:19:48,0,,0
68,TXN_14427,SUCCESS,MATCH,47835.29,47835.29,MATCH,NONE,2026-05-06 23:19:48,0,,0
69,TXN_14781,FAILED ,MISSING_INTERNAL,7505.17,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:19:48,0,,0
70,TXN_14862,SUCCESS,MATCH,23751.44,23751.44,MATCH,NONE,2026-05-06 23:19:48,0,,0
71,TXN_14887,SUCCESS,MATCH,34810.11,34810.11,MATCH,NONE,2026-05-06 23:19:48,0,,0
72,TXN_10871,PENDING,MISSING_INTERNAL,29667.17,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:19:48,0,,0
73,TXN_11067,SUCCESS,MATCH,14512.2,14512.2,MATCH,NONE,2026-05-06 23:19:48,0,,0
74,TXN_11652,SUCCESS,MATCH,49273.31,49273.31,MATCH,NONE,2026-05-06 23:19:48,0,,0
75,TXN_11660,SUCCESS,MATCH,7650.41,7650.41,MATCH,NONE,2026-05-06 23:19:48,0,,0
76,TXN_11974,SUCCESS,MATCH,11932.98,11932.98,MATCH,NONE,2026-05-06 23:19:48,0,,0
77,TXN_12045,SUCCESS,MATCH,31339.88,31339.88,MATCH,NONE,2026-05-06 23:19:48,0,,0
78,TXN_12047,SUCCESS,MATCH,13251.85,13251.85,MATCH,NONE,2026-05-06 23:19:48,0,,0
79,TXN_12088,FAILED ,MISSING_INTERNAL,48692.8,0.0,MISSING_INTERNAL,ROLLBACK,2026-05-06 23:19:48,0,,0
80,TXN_12397,SUCCESS,MATCH,9180.7,9180.7,MATCH,NONE,2026-05-06 23:19:48,0,,0
81,TXN_12801,SUCCESS,MATCH,47624.68,47624.68,MATCH,NONE,2026-05-06 23:19:48,0,,0
82,TXN_12993,SUCCESS,MATCH,40602.71,40602.71,MATCH,NONE,2026-05-06 23:19:48,0,,0
