job_id,status,message,created_at,completed_at
1,SUCCESS,,2026-05-04 23:37:27,2026-05-04 23:37:50
2,SUCCESS,,2026-05-04 23:59:03,2026-05-04 23:59:21
3,RUNNING,,2026-05-05 21:10:21,
4,FAILED,"[UNRESOLVED_COLUMN.WITH_SUGGESTION] A column or function parameter with name `gtw_txn_id` cannot be resolved. Did you mean one of the following? [`Amount`, `Status`, `Type`, `Account ID`, `Timestamp`].;
'Aggregate ['gtw_txn_id], ['gtw_txn_id, sum(CASE WHEN ('entry_type = DEBIT) THEN amount#47 ELSE 0 END) AS debit#63, sum(CASE WHEN ('entry_type = CREDIT) THEN amount#47 ELSE 0 END) AS credit#65]
+- Relation [Transaction ID#44,Account ID#45,Type#46,Amount#47,Status#48,Timestamp#49] csv
",2026-05-05 21:20:14,2026-05-05 21:20:47
5,SUCCESS,,2026-05-05 21:24:17,2026-05-05 21:24:30
6,SUCCESS,,2026-05-05 21:50:28,2026-05-05 21:50:49
7,FAILED,1265 (01000): Data truncated for column 'status' at row 1,2026-05-05 21:53:18,2026-05-05 21:53:35
8,FAILED,1265 (01000): Data truncated for column 'status' at row 1,2026-05-05 22:22:05,2026-05-05 22:22:21
9,SUCCESS,,2026-05-05 22:22:46,2026-05-05 22:23:02
10,FAILED,1265 (01000): Data truncated for column 'status' at row 1,2026-05-06 22:32:33,2026-05-06 22:33:05
11,SUCCESS,,2026-05-06 22:50:00,2026-05-06 22:50:11
12,SUCCESS,,2026-05-06 23:10:05,2026-05-06 23:10:40
13,SUCCESS,,2026-05-06 23:19:34,2026-05-06 23:19:50
14,SUCCESS,,2026-05-07 11:10:11,2026-05-07 11:11:04
15,SUCCESS,,2026-05-07 11:15:34,2026-05-07 11:15:51
