txn_id,gtw_txn_id,account_id,entry_type,amount,status,created_at
1,543dcb7c-416f-11f1-abdd-0a002700000b,3,DEBIT,2000.0,SUCCESS,2026-04-26 18:26:23
2,543dcb7c-416f-11f1-abdd-0a002700000b,1,CREDIT,2000.0,SUCCESS,2026-04-26 18:26:23
3,b147db49-416f-11f1-abdd-0a002700000b,1,DEBIT,15000.0,SUCCESS,2026-04-26 18:28:59
4,b147db49-416f-11f1-abdd-0a002700000b,3,CREDIT,15000.0,SUCCESS,2026-04-26 18:28:59
5,TXN_81aae0b1de,1,DEBIT,8000.0,SUCCESS,2026-04-28 00:17:00
6,TXN_81aae0b1de,4,CREDIT,8000.0,SUCCESS,2026-04-28 00:17:00
7,TXN_863b2574da,1,DEBIT,1000.0,SUCCESS,2026-04-28 00:23:16
8,TXN_863b2574da,3,CREDIT,1000.0,SUCCESS,2026-04-28 00:23:16
9,TXN_ebbf257800,4,DEBIT,5000.0,SUCCESS,2026-05-05 21:08:38
10,TXN_ebbf257800,3,CREDIT,5000.0,SUCCESS,2026-05-05 21:08:38
11,TXN_1d313de97f,7,DEBIT,1000.0,SUCCESS,2026-05-05 21:48:35
12,TXN_1d313de97f,1,CREDIT,1000.0,SUCCESS,2026-05-05 21:48:35
13,TXN_9d06064407,6,DEBIT,1000.0,SUCCESS,2026-05-05 22:21:23
14,TXN_9d06064407,3,CREDIT,1000.0,SUCCESS,2026-05-05 22:21:23
15,TXN_f39890fe62,5,DEBIT,1000.0,SUCCESS,2026-05-06 22:29:30
16,TXN_f39890fe62,6,CREDIT,1000.0,SUCCESS,2026-05-06 22:29:31
17,TXN_10001,17,DEBIT,4404.79,SUCCESS,2026-04-02 07:32:54
18,TXN_10001,19,CREDIT,4404.79,SUCCESS,2026-04-02 07:32:54
19,TXN_10002,20,DEBIT,9314.61,SUCCESS,2026-04-03 02:02:55
20,TXN_10002,6,CREDIT,9314.61,SUCCESS,2026-04-03 02:02:55
21,TXN_10003,13,DEBIT,26370.17,SUCCESS,2026-04-02 22:07:21
22,TXN_10003,9,CREDIT,26370.17,SUCCESS,2026-04-02 22:07:21
23,TXN_10005,5,DEBIT,23578.03,SUCCESS,2026-04-02 23:36:38
24,TXN_10005,12,CREDIT,23578.03,SUCCESS,2026-04-02 23:36:38
25,TXN_10007,16,DEBIT,13763.53,SUCCESS,2026-04-01 23:43:08
26,TXN_10007,4,CREDIT,13763.53,SUCCESS,2026-04-01 23:43:08
27,TXN_10008,9,DEBIT,31557.29,SUCCESS,2026-04-02 06:15:00
28,TXN_10008,18,CREDIT,31557.29,SUCCESS,2026-04-02 06:15:00
29,TXN_10009,6,DEBIT,5445.15,SUCCESS,2026-04-03 03:07:01
30,TXN_10009,1,CREDIT,5445.15,SUCCESS,2026-04-03 03:07:01
31,TXN_10010,17,DEBIT,40335.91,SUCCESS,2026-04-03 14:04:53
32,TXN_10010,11,CREDIT,40335.91,SUCCESS,2026-04-03 14:04:53
33,TXN_10011,16,DEBIT,47892.34,SUCCESS,2026-04-02 15:27:48
34,TXN_10011,15,CREDIT,47892.34,SUCCESS,2026-04-02 15:27:48
35,TXN_10012,18,DEBIT,24840.32,SUCCESS,2026-04-03 09:50:05
